x1,x2,y
0.042213747,0.582815214,-1
-1.100619177,1.14472371,1
0.901590721,0.502494339,-1
0.900855949,-0.683727859,1
1.624345364,-0.611756414,1
0.865407629,-2.301538697,1
1.744811764,-0.761206901,1
0.319039096,-0.249370375,1
1.462107937,-2.060140709,1
1.133769442,-1.099891267,1
-0.26788808,0.530355467,1
-1.117310349,0.234415698,1
1.659802177,0.742044161,-1
-0.747158294,1.692454601,1
0.050807755,-0.636995647,1
0.190915485,2.100255136,-1
0.120158952,0.61720311,-1
0.30017032,-0.352249846,1
-0.208894233,0.586623191,1
0.838983414,0.931102081,-1
0.285587325,0.885141164,-1
-0.754397941,1.252868155,1
0.51292982,-0.298092835,1
0.488518147,-0.075571713,1
1.131629387,1.519816816,-1
2.185575407,-1.396496335,1
0.160037069,0.876168921,-1
0.315634947,-2.022201216,1
-0.306204013,0.827974643,1
0.230094735,0.76201118,-1
0.186561391,0.410051647,-1
0.19829972,0.119008646,-1
-0.670662286,0.377563786,1
0.121821271,1.129483908,-1
1.19891788,0.185156417,-1
0.423494354,0.077340068,-1
-0.343853676,0.043596857,1
-0.620000844,0.698032034,1
-0.447128565,1.224507705,1
0.403491642,0.593578523,-1
-1.094911846,0.169382433,1
0.740556451,-0.953700602,1
-0.266218506,0.032614547,1
-1.37311732,0.315159392,1
0.846160648,-0.859515941,1
0.350545979,-1.312283411,1
1.121417708,0.408900538,-1
1.27375593,1.967101749,-1
-1.857981864,1.23616403,1
1.627650753,0.338011697,-1
-1.199268032,0.863345318,1
-1.230058136,0.550537496,1
0.792806866,-0.62353073,1
0.520576337,-1.14434139,1
0.801861032,0.046567298,-1
0.868886157,0.75041164,-1
0.529465324,0.13770121,-1
0.077821128,0.618380262,-1
0.232494559,0.682551407,-1
1.038824602,2.186979647,-1
0.441364444,-0.100155233,1
0.017409408,-1.122018729,1
0.248799161,-0.296641152,1
0.495211324,-0.17470316,1
0.986335188,0.213533901,-1
2.190699729,-1.896360923,1
-0.646916688,0.901486892,1
2.528325707,-0.248634778,1
0.043668993,-0.226314243,1
1.331457113,-0.287307863,1
0.68006984,-0.319801599,1
-1.272558755,0.31354772,1
0.503184813,1.293225883,-1
0.562761097,0.240737092,-1
0.280665077,-0.073112704,1
1.16033857,0.369492716,-1
1.904658708,1.111056699,-1
0.659049796,-1.627438341,1
0.60231928,0.420282204,-1
0.810951673,1.044442095,-1
-0.400878192,0.824005618,1
-0.562305431,1.954878075,1
-1.119115399,1.956078904,1
1.114382977,-0.586523939,1
-1.236853377,0.875838928,1
0.623362177,-0.434956683,1
1.40754,0.12910158,-1
1.616949599,0.502740882,-1
1.558805541,0.109402696,-1
-1.219744397,2.449368649,1
0.242669441,0.201830179,-1
0.661020288,1.792158209,-1
-1.674195808,0.825029824,1
-0.861316361,0.674711526,1
0.618539131,-0.443171931,1
1.810534914,-1.305726923,1
-2.793085,1.937528814,1
0.366332015,-1.044589382,1
2.051173443,0.585662,-1
0.42952614,-0.606998398,1
0.106222724,-1.525680316,1
0.795026094,-0.374438319,1
0.134048197,1.202054862,-1
0.284748111,0.262467445,-1
0.276499305,-0.733271604,1
0.836004719,1.543359111,-1
0.75880566,0.884908814,-1
-1.440876024,1.232253071,1
-0.254179868,1.399843942,1
0.095425087,0.921450069,-1
0.060750196,0.211124755,-1
0.016527567,0.17718772,-1
-1.116470018,0.080927101,1
0.492336556,-0.680678141,1
0.417302005,0.784770651,-1
-0.955425262,0.585910431,1
2.06578332,-1.471156926,1
-0.279097722,1.622849086,1
0.013352676,-0.694693595,1
0.621803504,-0.599804531,1
1.123412162,0.30526704,-1
1.388779396,-0.661344243,1
3.030857112,0.824584625,-1
0.654580153,-0.051188448,1
0.282675712,-0.826097432,1
0.621082701,0.956121704,-1
-0.705840507,1.192686068,1
-0.237941936,1.155287886,1
0.438166347,1.122328322,-1
1.451429261,-0.618036848,1
-0.411639163,1.278528083,1
-0.44222928,0.323527354,1
-0.10999149,0.008548945,1
0.4611641,-1.175982671,1
1.010127177,0.920017933,-1
-0.195057341,0.805393424,1
0.15626385,-0.190221025,1
-0.557494722,0.939168744,1
-1.943323406,0.352494364,1
-0.236436952,0.7278135,1
0.515073614,-2.782534468,1
0.58464661,0.324274243,-1
0.021862837,-0.468673816,1
0.853281222,-0.41302931,1
1.834717627,0.564382855,-1
2.137828067,-0.785533997,1
-1.75592564,0.714789597,1
0.617985534,-0.184176326,1
-1.426555421,1.767959948,1
-0.475372875,0.477610182,1
-1.021885945,0.79452824,1
0.852704062,0.035360097,-1
-1.873160978,0.920615118,1
-0.035367925,2.110605054,1
